,id_nuts,area,lat,lon
0,AT111,0.081,47.51603,16.47774
1,AT112,0.253,47.85091,16.76766
2,AT113,0.198,47.1654,16.25529
3,AT121,0.431,48.06012,14.99859
4,AT122,0.425,47.7752,15.89933
5,AT123,0.172,48.14185,15.63153
6,AT124,0.583,48.64689,15.30838
7,AT125,0.212,48.63259,16.33428
8,AT126,0.37,48.35994,16.34597
9,AT127,0.185,48.06139,16.45673
10,AT130,0.032,48.21058,16.39898
11,AT211,0.218,46.60737,14.01557
12,AT212,0.507,46.84464,13.30778
13,AT213,0.381,46.76995,14.58285
14,AT221,0.137,47.12214,15.35659
15,AT222,0.438,47.53001,14.22656
16,AT223,0.366,47.5073,15.20357
17,AT224,0.403,47.13168,15.81533
18,AT225,0.254,46.87403,15.23222
19,AT226,0.393,47.16851,14.38353
20,AT311,0.341,48.23616,13.39038
21,AT312,0.259,48.23864,14.13332
22,AT313,0.337,48.49359,14.3525
23,AT314,0.211,47.88157,14.31994
24,AT315,0.291,47.82771,13.66639
25,AT321,0.1,47.12921,13.65134
26,BE310,0.136,50.66614,4.58363
27,BE321,0.063,50.62594,3.70482
28,BE322,0.07,50.46524,4.42126
29,BE323,0.079,50.44256,3.86061
30,BE325,0.074,50.6023,4.0506
31,BE326,0.174,50.20503,4.26001
32,BE327,0.073,50.62585,3.4245
33,BE331,0.095,50.49139,5.35804
34,BE332,0.108,50.62947,5.61582
35,BE334,0.044,50.66856,5.17943
36,BE335,0.169,50.52308,5.94202
37,BE336,0.1,50.32983,6.18542
38,BE341,0.041,49.68599,5.78202
39,BE342,0.156,50.08964,5.74395
40,BE343,0.093,50.23328,5.48353
41,BE344,0.178,49.89543,5.30421
42,BE345,0.091,49.6517,5.51679
43,BE351,0.208,50.14979,5.03971
44,BE352,0.149,50.45374,4.85298
45,BE353,0.084,50.16518,4.58985
46,BG311,0.31,43.822,22.70058
47,BG312,0.361,43.51148,23.16781
48,BG313,0.432,43.38943,23.73669
49,BG314,0.474,43.49525,24.60237
50,BG315,0.504,43.0436,24.56677
51,BG321,0.492,43.194,25.63841
52,BG322,0.224,42.93841,25.24397
53,BG323,0.309,43.66036,25.97763
